ID,latitude,longitude,district,address_offers,agent_offers,subway_offers,closest_subway,dist_to_subway,subway_grade,subway_dist_to_center,rooms,floor,max_floor,footage,material,repair,price,category_age
MAL9963,55.731915,37.47552,ZAO,1.0,1.0,,Fonvizinskaya,,Underground,9444.0,Two Room,11.0,17.0,56.0,panel,Good,14400000.0,Middle-aged buildings
MAL2623,55.70151600000001,37.948898,UVAO,2.0,2.0,37.0,Dmitrievskaya,,Underground,20323.0,One Room,12.0,17.0,38.1,panel,Poor,6700000.0,Middle-aged buildings
MAL12124,55.78750329999999,37.611982,SVAO,1.0,1.0,,Strogino,660.0,Underground,3276.0,One Room,10.0,17.0,37.0,panel,Enough,8990000.0,Old buildings
MAL7579,55.82470260000001,37.62903970000001,,1.0,1.0,7.0,Rostokino,341.0,Monorail,7775.0,Two Room,4.0,5.0,42.1,brick,Enough,10300000.0,Old buildings
MAL3482,55.671944,37.49916500000001,ZAO,1.0,1.0,13.0,Rimskaya,,Underground,10917.0,Two Room,14.0,16.0,53.0,panel,Good,13500000.0,Old buildings
MAL2870,55.670498,37.608517,UAO,1.0,1.0,4.0,Petrovsko-Razumovskaya,298.0,Underground,8821.0,One Room,3.0,14.0,39.4,brick,Enough,9000000.0,Old buildings
MAL2332,,37.9346191,UVAO,2.0,146.0,,Dmitrievskaya,426.0,Underground,,One Room,,25.0,39.3,panel,,7450000.0,Young buildings
MAL399,55.79549,37.46229,,1.0,62.0,,Kolkhoznaya,1548.0,Underground,11455.0,,4.0,9.0,45.0,panel,Good,10600000.0,Old buildings
MAL2253,55.853087,37.685701,SVAO,1.0,1.0,3.0,Michurinsky Prospekt,1885.0,Urban rail,10236.0,,4.0,12.0,33.0,panel,Good,7200000.0,Old buildings
MAL2335,55.7063496,37.9195133,UVAO,1.0,21.0,20.0,Dmitrievskaya,,Underground,20323.0,One Room,10.0,22.0,40.0,panel,Enough,7100000.0,Middle-aged buildings
